#  Frequency and splitting coeffcients table for GONG month1 data
#
#  Frequencies and splitting coefficients have been obtained by
#  fitting orthogonal polynomials as defined by Ritzwoller and
#  Lavely (1991, ApJ 369, 557) to the frequencies of individual modes, i.e.
#
#  \nu_{n,l,m}=\nu_{n,l}+\sum_i c_{i,n,l}\gamma_{i,l}(m)
#
#  where \gamma_{i,l}(m) are the orthogonal polynomials for given
#  value of l, as defined by Ritzwoller and Lavely (eq. 33) and
#  c_{i,n,l} are the splitting coefficients which are tabulated in
#  these tables. It may be noted that the coefficients as defined
#  above do not have the conventional values of a coefficients
#  even at high l.
#
#  The error estimates given in these tables are those estimated from
#  the errors in individual modes and do not include any other systematic
#  errors, that may be present.
#
#  For those (n,l) values where the number of modes is not sufficient
#  to determine all the five splitting coefficients, some of the higher
#  ones are not determined and in those cases the corresponding errors
#  are set to zero.
#  Table Clebsch_Gordonfh.tab  Wed 10:17:15 24-Oct-2001

#     n     l         nu      dnu         c1        dc1         c2        dc2         c3        dc3         c4        dc4         c5        dc5         c6        dc6         c7        dc7         c8        dc8         c9        dc9
#                microHz  microHz     nanoHz     nanoHz     nanoHz     nanoHz     nanoHz     nanoHz     nanoHz     nanoHz     nanoHz     nanoHz     nanoHz     nanoHz     nanoHz     nanoHz     nanoHz     nanoHz     nanoHz     nanoHz

      9     0  1407.4587   0.1952     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     14     0  2093.3645   0.2051     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     15     0  2228.7434   0.1263     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     16     0  2362.8032   0.1517     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     17     0  2496.2065   0.0935     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     18     0  2629.5649   0.1410     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     19     0  2764.3228   0.1437     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     20     0  2898.8618   0.1146     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     21     0  3033.8303   0.0955     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     22     0  3168.9202   0.1476     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     23     0  3303.6260   0.1549     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     24     0  3439.1821   0.1322     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     27     0  3843.6331   0.4612     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     29     0  4118.4263   0.8876     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     30     0  4255.8823   0.8193     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     31     0  4392.8027   1.2440     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     15     1  2291.9890   0.1120   463.1020   335.7460     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     16     1  2425.4319   0.0720   376.8220   200.9680     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     14     2  2217.6560   0.0620   829.3020    79.4960   -71.8890   133.0740   -26.9130    64.2950     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     15     2  2352.1819   0.0780   838.5170   108.2450   114.2460   168.6500   -48.3830    87.7210     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     16     2  2485.8340   0.0570   735.2170    94.7670   113.6720   124.0900   -99.8060    63.1920     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     20     2  3024.9351   0.0530   770.3800    82.5480  -205.3860   115.7010   -45.2840    60.6530     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     23     2  3431.0630   0.0890   741.6540   124.2420  -435.1780   197.7750  -110.4900    95.5260     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     24     2  3566.7791   0.1160   692.9060   180.0180  -358.9050   280.4630   118.1010   116.1870     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     25     2  3702.9160   0.1740   822.5910   239.6880  -901.0510   399.0170    53.0800   179.3900     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     10     3  1729.0959   0.0620   759.2050    68.0320   -93.8220    45.0420   -53.1300    53.9200     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     12     3  2001.2000   0.0490   876.8530    43.6950    36.4720    33.3420   -66.8230    35.2990    -3.0600   202.4210    -6.2540    37.1540     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     13     3  2137.8279   0.0610   898.1670    36.6230    32.0400    46.8570     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     16     3  2541.7471   0.0460   827.9690    45.3890    80.0030    36.0040   -63.5060    32.9780    22.4700   182.3680   -45.8450    31.8760     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     17     3  2676.2271   0.0410   799.0790    40.8300   -59.7550    30.8640   -74.1990    29.2600  -214.9130   176.4600    16.5870    27.8520     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     18     3  2811.5740   0.0800   774.3020    46.7390    57.4520    60.6210     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     19     3  2947.0510   0.0850   861.5530    49.4230   -32.4490    64.3970     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     20     3  3082.4250   0.0410   795.0000    42.6530  -107.4950    32.8220   -75.0390    29.1110   -29.7870   169.0630     5.1540    26.4400     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     21     3  3217.9419   0.0670   648.4230    93.0210     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     22     3  3353.6021   0.0650   744.3330    66.7360  -100.5520    48.9640   -43.2420    46.8550   -23.1510   279.2520    53.7530    43.6060     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     23     3  3489.5239   0.0820   754.4450    86.0810  -239.3420    63.4350     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
      7     4  1356.3420   0.1220   892.6260    85.4960   -46.2420    40.6290     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     12     4  2051.6689   0.0390   836.9320    31.9360    17.0670    15.7100   -37.2030    20.4290     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     13     4  2188.4170   0.0420   887.3280    32.8190   -10.8990    18.2130    19.8300    21.1410    34.9350    37.7920   -41.8990    19.4090    95.3660   365.3490    16.9340    17.4230     0.0000     0.0000     0.0000     0.0000
     15     4  2458.4590   0.0470   829.5630    38.1150   -12.6320    18.4670   -67.2550    26.8870   -40.9880    40.3580   -24.1990    22.4200  -661.3320   449.0910    11.1430    23.9840     0.0000     0.0000     0.0000     0.0000
     16     4  2593.0549   0.0390   843.5540    30.6560   -11.7730    15.9930   -66.0670    21.0000     8.5950    34.1030    -7.1590    19.2780   235.9410   346.6190    11.3330    18.7800     0.0000     0.0000     0.0000     0.0000
     18     4  2864.3420   0.0470   827.1660    35.7860   -39.6220    18.8330   -79.1020    25.6860     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     20     4  3136.0310   0.0430   781.5340    35.9880   -39.7470    16.6340     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     21     4  3271.9280   0.0490   843.0940    38.5350   -16.4290    20.9380   -37.1660    26.5640   -23.7090    43.1670     1.3860    23.0450   141.7720   447.7070   -14.6630    23.1400     0.0000     0.0000     0.0000     0.0000
     22     4  3408.1760   0.1030   835.3030    65.0370   -43.7960    36.8310   -55.2210    58.8120     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     23     4  3544.9529   0.1180   798.4790   207.3210     6.6650    76.6530    80.5980   133.9440     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     24     4  3681.9939   0.1360   778.3660    82.7820   -32.2980    61.6850     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     25     4  3819.4150   0.1510  1007.3620   102.4680  -111.0900    61.6050    37.9340    71.2450   -30.0720   141.2360   -22.7890    64.1940   102.5600  1603.7000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     27     4  4094.0391   0.3240  1084.5670   180.8670  -413.0510   131.0670     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     10     5  1823.3950   0.0420   875.1500    28.2080     7.2660    12.6270   -27.7820    22.2570   -32.9830    19.6790     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     12     5  2098.4409   0.0320   857.5040    20.2330     5.4830     8.6470   -13.7870    13.7660    -0.3900    14.6440    -7.9340    11.7700   -41.5790    36.2770     0.7990    10.8040    17.3270    54.1250     3.2430    11.6750
     13     5  2235.3779   0.0450   876.0790    26.7310     2.6010    10.6660   -31.1190    19.6050     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     14     5  2371.0391   0.0370   899.5230    22.6120   -15.2600     9.3130   -18.0750    16.7390   -16.0790    16.1970   -20.7290    13.7040   -14.1240    45.7550    -2.6100    11.5660   -42.8560    74.0300   -21.6630    15.1070
     15     5  2506.0701   0.0450   854.9480    23.5550    -5.5640    11.6370   -63.2250    18.2740    -8.2270    18.6460   -32.3030    17.3090    34.3110    43.5740   -19.8000    16.7140     0.0000     0.0000     0.0000     0.0000
     17     5  2777.3640   0.0340   858.7430    21.7330   -12.7140     8.6290   -44.8730    15.0250    10.1630    15.2030     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
     18     5  2913.8201   0.0330   902.0590    20.8110   -33.5360     8.4400   -22.5150    13.7090    15.1750    14.8470    -5.1000    12.5470   -35.0390    37.0410     2.4960    11.6410    97.7360    52.9960     0.4620    11.8380
     19     5  3050.0349   0.0320   921.8280    20.7160   -32.8820     8.2620   -15.9460    13.8130     0.9620    14.6320     7.6920    12.1160   -66.3220    37.7110   -10.9890    10.9190     0.5150    56.0900   -16.8170    11.5490
     20     5  3186.3240   0.0400   912.3140    26.4700   -35.6670    10.5940   -51.4980    17.9480   -13.4930    18.5280    10.4430    14.2480   -44.3200    43.6150    -5.2220    14.2510   -46.5950    67.8620   -21.2950    13.9890
     21     5  3322.8049   0.0470   829.5230    29.4830   -19.9500    12.4560   -43.3150    20.2060    31.0700    21.4030   -14.9570    17.3770   108.7840    56.0210     9.6500    15.1530   168.4930    84.9380     0.7740    17.2380
     23     5  3596.8169   0.0920   814.3750    72.9850   -50.8210    21.6530    -5.2880    54.3170    38.5260    45.0330     0.3920    29.3830   -12.6390   101.4530     4.6810    52.2500     0.0000     0.0000     0.0000     0.0000
     25     5  3872.4070   0.2640     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
      6     6  1295.7330   0.1500   918.7090    88.0320   -12.7720    25.6670     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
